uid,iid
182,4978
117,4979
60,4980
61,4980
69,4980
74,4980
91,4980
112,4980
114,4980
136,4980
143,4980
170,4980
182,4980
147,4981
136,4982
117,4983
19,4984
28,4984
52,4984
65,4984
77,4984
110,4984
130,4984
133,4984
177,4984
6,4985
30,4985
38,4985
59,4985
62,4985
91,4985
116,4985
117,4985
126,4985
167,4985
170,4985
175,4985
17,4986
13,4987
48,4987
73,4987
178,4987
11,4988
134,4988
117,4989
117,4990
117,4991
4,4992
53,4992
60,4992
69,4992
74,4992
78,4992
91,4992
95,4992
114,4992
126,4992
134,4992
136,4992
143,4992
170,4992
182,4992
11,4993
12,4993
19,4993
30,4993
49,4993
65,4993
116,4993
117,4993
126,4993
134,4993
143,4993
175,4993
99,4994
117,4995
117,4996
24,4997
74,4997
78,4997
91,4997
112,4997
114,4997
117,4997
126,4997
134,4997
136,4997
143,4997
170,4997
182,4997
99,4998
117,4999
11,5000
65,5000
67,5000
80,5000
110,5000
117,5000
130,5000
133,5000
4,5001
8,5001
53,5001
60,5001
170,5001
4,5002
8,5002
60,5002
61,5002
69,5002
74,5002
91,5002
114,5002
136,5002
143,5002
145,5002
149,5002
163,5002
173,5002
182,5002
12,5003
117,5003
126,5003
100,5004
117,5005
12,5006
11,5007
12,5007
134,5007
4,5008
8,5008
53,5008
60,5008
74,5008
91,5008
95,5008
114,5008
136,5008
143,5008
170,5008
182,5008
2,5009
5,5009
19,5009
28,5009
65,5009
66,5009
72,5009
76,5009
78,5009
80,5009
82,5009
90,5009
98,5009
104,5009
106,5009
108,5009
110,5009
117,5009
119,5009
130,5009
133,5009
155,5009
185,5009
12,5010
53,5010
61,5010
117,5010
126,5010
117,5011
2,5012
7,5012
82,5013
117,5013
130,5013
133,5013
12,5014
48,5014
63,5014
75,5014
126,5014
1,5015
3,5015
7,5015
8,5015
11,5015
12,5015
14,5015
19,5015
21,5015
25,5015
31,5015
33,5015
35,5015
39,5015
49,5015
64,5015
67,5015
68,5015
73,5015
76,5015
89,5015
94,5015
97,5015
101,5015
108,5015
110,5015
115,5015
116,5015
117,5015
121,5015
122,5015
125,5015
127,5015
134,5015
141,5015
143,5015
144,5015
146,5015
155,5015
165,5015
175,5015
178,5015
31,5016
45,5016
52,5016
65,5016
117,5016
155,5016
35,5017
65,5017
67,5017
77,5017
80,5017
104,5017
108,5017
110,5017
117,5017
130,5017
133,5017
134,5017
156,5017
4,5018
53,5018
91,5018
114,5018
143,5018
